,id_season,tm,opp,game_nb,before_average_W_ratio,before_average_W_ratio_opp,extdom_ext,rest,before_average_pts_tm,before_average_pts_opp,before_average_pts_tm_opp,before_average_pts_opp_opp,id,results
107,2010,BOS,CLE,76,0.6266666666666667,0.7894736842105263,0,2,98.9,94.8,102.0,94.7,2010-04-04_CLE_BOS,1
108,2010,BOS,NYK,77,0.631578947368421,0.3552631578947368,1,2,99.1,95.1,101.8,105.4,2010-04-06_BOS_NYK,0
109,2010,BOS,TOR,78,0.6233766233766234,0.4935064935064935,1,1,99.1,95.2,103.9,105.8,2010-04-07_BOS_TOR,1
110,2010,BOS,WAS,79,0.6282051282051282,0.3076923076923077,0,2,99.3,95.3,96.0,100.9,2010-04-09_WAS_BOS,0
111,2010,BOS,CHI,81,0.625,0.4875,1,3,99.4,95.4,97.4,99.3,2010-04-13_BOS_CHI,0
112,2010,BOS,MIL,82,0.6172839506172839,0.5555555555555556,0,1,99.3,95.4,97.6,96.0,2010-04-14_MIL_BOS,0
113,2010,CHA,NYK,2,0.0,0.0,0,2,59.0,92.0,93.0,115.0,2009-10-30_NYK_CHA,1
114,2010,CHA,NJN,4,0.3333333333333333,0.0,0,2,80.0,94.0,94.0,104.3,2009-11-02_NJN_CHA,1
115,2010,CHA,CHI,6,0.6,0.6,1,1,84.4,86.6,87.6,92.8,2009-11-07_CHA_CHI,0
116,2010,CHA,ORL,7,0.5,0.7142857142857143,0,3,85.3,87.7,103.7,99.6,2009-11-10_ORL_CHA,0
117,2010,CHA,DET,8,0.4285714285714285,0.4285714285714285,1,1,84.7,88.4,91.3,91.7,2009-11-11_CHA_DET,0
118,2010,CHA,POR,9,0.375,0.7,0,3,83.5,89.6,96.9,88.4,2009-11-14_POR_CHA,0
119,2010,CHA,ORL,10,0.3333333333333333,0.7,1,2,82.4,88.6,100.0,95.2,2009-11-16_CHA_ORL,0
120,2010,CHA,PHI,11,0.3,0.4,1,2,83.3,89.4,97.3,102.4,2009-11-18_CHA_PHI,0
121,2010,CHA,MIL,12,0.2727272727272727,0.6666666666666666,1,2,83.4,89.1,100.1,94.8,2009-11-20_CHA_MIL,0
122,2010,CHA,TOR,14,0.3076923076923077,0.4666666666666667,0,3,85.3,89.5,107.4,108.1,2009-11-25_TOR_CHA,1
123,2010,CHA,CLE,15,0.3571428571428571,0.7333333333333333,0,2,87.5,88.9,99.1,94.6,2009-11-27_CLE_CHA,1
124,2010,CHA,BOS,17,0.4375,0.7647058823529411,0,3,88.2,87.9,99.9,91.3,2009-12-01_BOS_CHA,0
125,2010,CHA,DEN,20,0.4210526315789473,0.7619047619047619,0,3,89.4,90.4,109.7,101.5,2009-12-08_DEN_CHA,1
126,2010,CHA,SAS,21,0.45,0.5263157894736842,1,3,90.2,90.6,100.9,97.5,2009-12-11_CHA_SAS,0
127,2010,CHA,NYK,23,0.4090909090909091,0.3478260869565217,0,3,90.3,91.5,103.8,106.8,2009-12-15_NYK_CHA,1
128,2010,CHA,UTA,25,0.4166666666666667,0.5769230769230769,0,3,90.8,91.8,101.0,98.7,2009-12-19_UTA_CHA,0
129,2010,CHA,NYK,26,0.4,0.3461538461538461,1,1,91.2,92.5,102.3,105.4,2009-12-20_CHA_NYK,0
130,2010,CHA,OKC,28,0.4074074074074074,0.5,1,4,91.2,92.1,98.1,97.0,2009-12-26_CHA_OKC,0
131,2010,CHA,TOR,30,0.4137931034482758,0.46875,1,2,91.3,92.0,103.4,105.8,2009-12-30_CHA_TOR,0
132,2010,CHA,MIA,31,0.4,0.5333333333333333,1,3,91.7,92.5,96.8,96.4,2010-01-02_CHA_MIA,1
133,2010,CHA,NYK,34,0.4545454545454545,0.4117647058823529,1,2,92.8,93.0,101.9,102.7,2010-01-07_CHA_NYK,0
134,2010,CHA,HOU,36,0.4571428571428571,0.5675675675675675,0,3,92.7,92.9,100.1,99.6,2010-01-12_HOU_CHA,1
135,2010,CHA,PHO,38,0.4864864864864865,0.6,0,1,92.9,92.5,109.7,106.8,2010-01-16_PHO_CHA,1
136,2010,CHA,SAC,39,0.5,0.3846153846153846,0,2,93.8,92.7,102.5,105.2,2010-01-18_SAC_CHA,1
137,2010,CHA,ATL,41,0.525,0.6585365853658537,1,2,94.3,92.2,103.0,97.4,2010-01-22_CHA_ATL,0
138,2010,CHA,ORL,42,0.5121951219512195,0.6511627906976745,0,1,94.2,92.5,101.2,96.2,2010-01-23_ORL_CHA,0
139,2010,CHA,PHO,44,0.4883720930232558,0.5652173913043478,1,1,94.2,93.1,109.9,107.8,2010-01-26_CHA_PHO,1
140,2010,CHA,GSW,45,0.5,0.2954545454545454,1,3,94.6,93.4,107.5,111.1,2010-01-29_CHA_GSW,1
141,2010,CHA,SAC,46,0.5111111111111111,0.3555555555555555,1,1,95.2,93.8,101.3,105.1,2010-01-30_CHA_SAC,1
142,2010,CHA,POR,47,0.5217391304347826,0.5714285714285714,1,2,95.4,93.8,97.9,95.1,2010-02-01_CHA_POR,0
143,2010,CHA,NOH,49,0.5,0.52,0,3,95.1,94.0,99.7,101.1,2010-02-06_NOH_CHA,0
144,2010,CHA,WAS,50,0.4897959183673469,0.3469387755102041,0,3,95.1,94.2,97.6,101.9,2010-02-09_WAS_CHA,1
145,2010,CHA,MIN,51,0.5,0.25,1,1,95.1,94.2,98.2,106.8,2010-02-10_CHA_MIN,1
146,2010,CHA,NJN,52,0.5098039215686274,0.0769230769230769,0,6,95.1,94.2,89.8,101.5,2010-02-16_NJN_CHA,0
147,2010,CHA,CLE,53,0.5,0.7818181818181819,0,3,95.1,94.3,101.9,94.6,2010-02-19_CLE_CHA,1
148,2010,CHA,MIL,54,0.5094339622641509,0.4716981132075472,1,1,95.3,94.3,97.9,98.1,2010-02-20_CHA_MIL,0
149,2010,CHA,LAC,55,0.5,0.4,1,2,95.2,94.3,95.4,100.0,2010-02-22_CHA_LAC,0
